paper_id,level,stem,md_exists,pdf_exists,table_lines,sep_lines,total_lines,n_figures,n_images_files,has_table,table_density
P01540,B,10.1016_j.jhazmat.2016.12.009,True,True,0,0,329,33,0,False,0.0
P04056,B,10_3390_ijerph14101198,True,True,0,0,322,61,0,False,0.0
P07406,B,2016_Song M_EnvironPollut_null,True,True,0,0,328,29,0,False,0.0
P09000,B,2024_Environment CR et al_EnvironRes_null_1,True,True,0,0,24,0,0,False,0.0
P00643,B,10.1007_s11356-016-6462-2,True,True,0,0,272,38,0,False,0.0
P00650,B,2016_Hu S et al_EnvironSciPollutRes_10.1007-s11356-016-6701-6,True,True,0,0,253,25,0,False,0.0
P02317,B,2016_Yan X et al_Radioprotection_10.1051-radiopro-2015022,True,True,0,0,109,9,0,False,0.0
P05261,B,10_1080_10406638_2016_1143847,True,True,0,0,198,18,0,False,0.0
P07409,B,2016_Song M_JHazardMater_null,True,True,0,0,275,18,0,False,0.0
P10878,B,2016_Zeng J et al_Chemosphere_null,True,True,0,0,244,40,0,False,0.0
P00755,B,2008_Zhang Weihua et al_Nature_10.1007-s11368-015-1112-8,True,True,0,0,226,20,0,False,0.0
P00761,B,10.1007_s11368-015-1341-x,True,True,0,0,299,58,0,False,0.0
P01993,B,2015_Liu J et al_EnvironSciTechnol_10.1021-es5049804,True,True,0,0,290,32,0,False,0.0
P03076,B,2011_摘要_环境科学_10.13209-j.0479-8023.2011.022,True,True,0,0,256,42,0,False,0.0
P03165,B,2015_Wan J et al_Land_10.1371-journal.pone.0129978,True,True,0,0,285,50,0,False,0.0
P03328,B,2024_顾赟之_皮革制作与环保科技_10.20025-j.cnki.CN10-1679.2024-22-42,True,True,0,0,154,11,0,False,0.0
P08601,B,2021_Xu Y et al_JHazardMater_null,True,True,0,0,333,49,0,False,0.0
P10666,B,2014_2015 EEMJF et al_Water_null,True,True,0,0,15,0,0,False,0.0
P10684,B,2014_Hou Wei et al_Water_null,True,True,0,0,15,0,0,False,0.0
P10812,B,2016_Chen F et al_JHazardMater_null,True,True,0,0,330,62,0,False,0.0
P11554,B,2024_梁文煦_Unknown_null,True,True,0,0,1256,159,0,False,0.0
P00612,B,2014_Sun L et al_EnvironSciPollutRes_10.1007-s11356-014-3171-6,True,True,0,0,238,35,0,False,0.0
P03120,B,2017_顾平_环境科学_10.13671-j.hjkxxb.2017.0404,True,True,0,0,233,10,0,False,0.0
P04017,B,2014_Tang X et al_EnvironRes_10.3390-ijerph110303118,True,True,0,0,239,28,0,False,0.0
P00751,B,2013_Fan B et al_JSoilsSediments_10.1007-s11368-013-0705-3,True,True,0,0,356,60,0,False,0.0
P00906,B,2013_Wei H et al_IntJEnvironSciTechnol_10.1007-s13762-013-0216-1,True,True,0,0,222,22,0,False,0.0
