paper_id,level,stem,md_exists,n_html_tables,n_tr_rows,has_html_table,n_images,si_dir_exists,n_si_pdfs,total_md_lines,extract_strategy
P01715,B,2018_Zhu X et al_SciTotalEnviron_10.1016-j.scitotenv.2017.11.159,True,0,0,False,2,False,0,43,figure_only
P02495,B,2018_Jeelani N et al_Land_10.1080-15226514.2018.1425666,True,2,13,True,11,False,0,279,html_table
P03275,B,2016_韩文辉_环境科学_10.16258-j.cnki.1674-5906.2016.09.021,True,5,52,True,14,False,0,245,html_table
P03303,B,2018_Wan X et al_SoilWaterRes_10.17221-211-2017-SWR_3,True,6,73,True,10,False,0,221,html_table
P04074,B,2018_Lv D et al_EnvironRes_10.3390-ijerph15040698,True,3,102,True,13,False,0,200,html_table
P04085,B,2018_Metals_EnvironRes_10.3390-ijerph15081731,True,5,32,True,12,False,0,181,html_table
P10994,B,2018_Liu X et al_EcotoxicolEnvironSaf_null,True,0,0,False,1,False,0,27,figure_only
P11136,B,2020_Li Q et al_EcotoxicolEnvironSaf_null,True,1,21,True,16,False,0,288,html_table
P11293,B,2021_土壤中_土壤_null,True,14,113,True,79,False,0,1245,html_table
P00764,B,2017_Wang Y et al_JSoilsSediments_10.1007-s11368-017-1762-9,True,3,60,True,11,False,0,302,html_table
P01102,B,10.1016_j.chemosphere.2016.12.047,True,2,20,True,7,True,0,525,html_table
P01540,B,10.1016_j.jhazmat.2016.12.009,True,3,16,True,23,True,0,329,html_table
P04056,B,10_3390_ijerph14101198,True,2,30,True,18,False,0,322,html_table
P07406,B,2016_Song M_EnvironPollut_null,True,0,0,False,10,False,0,328,figure_only
P09000,B,2024_Environment CR et al_EnvironRes_null_1,True,0,0,False,0,False,0,24,text_only
P00643,B,10.1007_s11356-016-6462-2,True,5,75,True,20,True,0,272,html_table
P00650,B,2016_Hu S et al_EnvironSciPollutRes_10.1007-s11356-016-6701-6,True,5,34,True,18,False,0,253,html_table
P02317,B,2016_Yan X et al_Radioprotection_10.1051-radiopro-2015022,True,4,33,True,8,False,0,109,html_table
P05261,B,10_1080_10406638_2016_1143847,True,2,11,True,12,False,0,198,html_table
P07409,B,2016_Song M_JHazardMater_null,True,2,20,True,7,False,0,275,html_table
P10878,B,2016_Zeng J et al_Chemosphere_null,True,1,16,True,13,False,0,244,html_table
P00755,B,2008_Zhang Weihua et al_Nature_10.1007-s11368-015-1112-8,True,2,24,True,6,False,0,226,html_table
P00761,B,10.1007_s11368-015-1341-x,True,4,27,True,15,True,0,299,html_table
P01993,B,2015_Liu J et al_EnvironSciTechnol_10.1021-es5049804,True,1,14,True,11,False,0,290,html_table
P03076,B,2011_摘要_环境科学_10.13209-j.0479-8023.2011.022,True,7,88,True,19,False,0,256,html_table
P03165,B,2015_Wan J et al_Land_10.1371-journal.pone.0129978,True,4,29,True,19,False,0,285,html_table
P03328,B,2024_顾赟之_皮革制作与环保科技_10.20025-j.cnki.CN10-1679.2024-22-42,True,5,29,True,5,False,0,154,html_table
P08601,B,2021_Xu Y et al_JHazardMater_null,True,0,0,False,20,False,0,333,figure_only
P10666,B,2014_2015 EEMJF et al_Water_null,True,0,0,False,0,False,0,15,text_only
P10684,B,2014_Hou Wei et al_Water_null,True,0,0,False,0,False,0,15,text_only
P10812,B,2016_Chen F et al_JHazardMater_null,True,6,139,True,17,False,0,330,html_table
P11554,B,2024_梁文煦_Unknown_null,True,10,102,True,145,False,0,1256,html_table
P00612,B,2014_Sun L et al_EnvironSciPollutRes_10.1007-s11356-014-3171-6,True,4,74,True,18,False,0,238,html_table
P03120,B,2017_顾平_环境科学_10.13671-j.hjkxxb.2017.0404,True,2,9,True,5,False,0,233,html_table
P04017,B,2014_Tang X et al_EnvironRes_10.3390-ijerph110303118,True,3,21,True,12,False,0,239,html_table
P00751,B,2013_Fan B et al_JSoilsSediments_10.1007-s11368-013-0705-3,True,1,2,False,33,False,0,356,figure_only
P00906,B,2013_Wei H et al_IntJEnvironSciTechnol_10.1007-s13762-013-0216-1,True,1,15,True,8,False,0,222,html_table
P01294,B,10.1016_j.envpol.2013.03.058,True,5,42,True,10,True,1,267,si_available
P01532,B,2013_Dong Z et al_JHazardMater_10.1016-j.jhazmat.2013.05.003,True,5,51,True,25,False,0,366,html_table
P02272,B,10.1039_c3em00043e,True,4,68,True,12,True,1,229,si_available
P02376,B,2014_Tangetal_ChemEcol_10.1080-02757540.2013.844798,True,3,47,True,5,False,0,138,html_table
P02414,B,2013_Feng S et al_polycyclicaromaticcomp_10.1080-10476544.2013.835555,False,0,0,False,18,False,0,0,figure_only
