DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签_生产,标签_生态,标签,id_DOI,id_Source,split_source,is_synthetic
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.1499,117.1217,天津,PAH,,,,368.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,43.7365,125.2928,黑龙江,PAH,,,,877.23,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,43.6958,126.5947,黑龙江,PAH,,,,740.21,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,32.9165,119.3369,安徽,PAH,,,,118.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,33.9941,113.6424,河南,PAH,,,,128.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.1457,117.0799,天津,PAH,,,,941.27,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,35.8886,120.417,山东,PAH,,,,1081.22,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.0082,117.243,天津,PAH,,,,613.1,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,28.7596,121.476,浙江,PAH,,,,316.5,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,30.4034,120.3363,浙江,PAH,,,,328.8,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
