paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s00477-022-02299-8,s00477-022-02299-8_Sunflower_leaves,Ant_ngg,13.89,Unknown,table_p6_ri6_ci10,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_root,Ant_ngg,6.55,Unknown,table_p6_ri6_ci11,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion,Flt_ngg,25.49,Unknown,table_p6_ri7_ci1,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion_root,Flt_ngg,26.36,Unknown,table_p6_ri7_ci2,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Cabbage,Flt_ngg,36.06,Unknown,table_p6_ri7_ci3,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Coriander,Flt_ngg,16.33,Unknown,table_p6_ri7_ci4,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Beans,Flt_ngg,28.8,Unknown,table_p6_ri7_ci5,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Spinach,Flt_ngg,19.39,Unknown,table_p6_ri7_ci6,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Celery,Flt_ngg,11.84,Unknown,table_p6_ri7_ci7,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Lettuce,Flt_ngg,42.27,Unknown,table_p6_ri7_ci8,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_fruit,Flt_ngg,30.01,Unknown,table_p6_ri7_ci9,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_leaves,Flt_ngg,27.47,Unknown,table_p6_ri7_ci10,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_root,Flt_ngg,26.86,Unknown,table_p6_ri7_ci11,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion,Pyr_ngg,15.38,Unknown,table_p6_ri8_ci1,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion_root,Pyr_ngg,15.55,Unknown,table_p6_ri8_ci2,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Cabbage,Pyr_ngg,19.31,Unknown,table_p6_ri8_ci3,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Coriander,Pyr_ngg,11.42,Unknown,table_p6_ri8_ci4,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Beans,Pyr_ngg,14.82,Unknown,table_p6_ri8_ci5,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Spinach,Pyr_ngg,10.83,Unknown,table_p6_ri8_ci6,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Celery,Pyr_ngg,5.81,Unknown,table_p6_ri8_ci7,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Lettuce,Pyr_ngg,21.98,Unknown,table_p6_ri8_ci8,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_fruit,Pyr_ngg,23.7,Unknown,table_p6_ri8_ci9,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
