paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,Phe_ngg,0.001,Unknown,table_p5_ri6_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,Ant_ngg,0.01,Unknown,table_p5_ri7_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,Pyr_ngg,0.001,Unknown,table_p5_ri9_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,BaA_ngg,0.1,Unknown,table_p5_ri10_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,Chr_ngg,0.01,Unknown,table_p5_ri11_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,BbF_ngg,0.1,Unknown,table_p5_ri12_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,BkF_ngg,0.1,Unknown,table_p5_ri13_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,BaP_ngg,1.0,Unknown,table_p5_ri14_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,DahA_ngg,1.0,Unknown,table_p5_ri15_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,BghiP_ngg,0.01,Unknown,table_p5_ri17_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
