factor_id,factor_name_norm,factor_name_raw,track,diagnosis_layer,threshold_role,land_use_target,scenario,standard_source,standard_level,threshold_type,upper_limit,lower_limit,ideal_min,ideal_max,unit,threshold_version,evidence_level,source_file,source_version,source_row_id,notes
188,SumDDTs_ngg,滴滴涕,production,supplementary_screening,screening_reference,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,1025,农产品安全关键指标
180,阿特拉津,阿特拉津,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,1041,农产品安全关键指标
194,硫丹,硫丹,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,1037,农产品安全关键指标
206,灭蚁灵,灭蚁灵,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,1033,农产品安全关键指标
"注：
区域定义（含核心管控导向）：
普通绿化区：以基础生态覆盖为核心的绿地，包括道路绿化带、工厂附属绿地、社区外围绿地等，管控重点为土壤基础理化指标（如 pH、有效土层、入渗率），满足植物存活基本需求（依据 CJ/T 340-2016 “普通绿化区” 阈值）；
耐盐碱种植区：受盐碱化影响的特殊绿地，包括滨海绿地、厂区次生盐碱绿地、盐碱地修复绿地等，管控重点为含盐量、交换性钠、钠吸附比等盐害指标（依据 CJ/T 340-2016 耐盐碱相关要求）；
高景观绿化区：兼具景观展示与生态功能的绿地，包括植物园、城市核心花坛、生物滞留池、公园主景观区等，管控重点为肥力指标（如阳离子交换量、有机质、水解性氮等）与景观适配性（如石砾粒径），需满足 CJ/T 340-2016 “高景观绿化区” 必测 / 选测要求；
设施绿化区：非常规场地绿化，包括屋顶绿化、地下顶面绿化、垂直绿化（构筑物壁面）等，管控重点为有效土层厚度（按植物类型区分：乔木≥80cm、灌木≥45cm、草坪≥15cm）、土壤密度（防荷载超限），依据 CJJ 82-2012 设施绿化相关要求；
自然保育区：以生态保护为首要目标的绿地，包括水源涵养林、自然保护区绿地、生态修复核心区等，管控重点为重金属低限值（CJ/T 340-2016 I 级）与原生土壤结构保护，避免人为干预破坏生态平衡；
一类用地绿地：人群高频接触的敏感绿地，包括住宅区内绿地、学校操场绿地、儿童公园、养老院附属绿地等，管控重点为污染物安全阈值（GB 36600-2018 “一类用地筛选值”），防范重金属、挥发性有机物通过接触 / 扬尘影响人体健康；
二类用地绿地：人群低接触或功能性绿地，包括商业街区绿地、工业厂区绿地、仓储区周边绿地等，管控重点为基础生态功能（如滞尘、降噪），污染物指标可按 GB 36600-2018 “二类用地筛选值” 放宽，优先保障植物存活；
污染管控区：潜在 / 历史污染绿地，包括废弃矿地、工业遗留场地修复绿地、污染土壤改良绿地等，管控重点为毒害重金属（砷、镉、铬、铅、汞）与特征污染物（如挥发性卤代烃），需符合 CJ/T 340-2016 IV 级或 GB 36600-2018 对应污染修复限值。
公园绿地指标选取规则：
应用场景中未单独列明的公园绿地，需按功能分区选取阈值：公园内花坛、专类园、生物滞留池等 “高景观功能区”，按 “高景观绿化区” 阈值执行；公园内普通游步道两侧、非景观核心区等 “基础绿化区”，按 “一般绿地” 阈值执行；儿童活动区、老人休憩区等 “人群高频接触区”，需额外符合 “一类用地绿地” 污染物限值。
一般绿地指标取舍规则：
应用场景中明确不含 “一般绿地”（核心场景为基础生态绿化，如道路基础绿化带、社区非景观绿地）的障碍因子时，仅针对非绿化主导功能区域（如绿地内纯硬化配套区、临时堆土区）可不予考虑；若场景涉及植物种植（即使非核心景观），仍需优先保障一般绿地的主控指标（pH、有效土层、入渗率、有机质）达标，避免因指标缺失导致植物生长异常。",发芽指数,发芽指数,production,formal,direct_standard,生态,潜在毒害,绿化种植土壤CJ/T340-2016,行业标准,lower,,>80%,,,%,v0.7,B,20251015_V1.6合并版,V1.6,1149,一般控制指标
32,速效钾,速效钾,production,recommended_test,proxy_indicator,生态,全区通用,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,1148,一般控制指标
22,水解性氮,水解性氮,production,formal,direct_standard,生态,全区通用,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,1147,一般控制指标
144,䓛,䓛,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,1006,重点监测因子；农产品安全关键指标
218,TPH_ngg,石油烃(C10-C40),production,supplementary_screening,screening_reference,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,915,农产品安全关键指标
124,甲苯,甲苯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,914,农产品安全关键指标
