paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JS2,SumDDT_ngg,0.17,Unknown,table_p5_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JS2,SumHCH_ngg,1.79,Unknown,table_p5_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JS3,SumDDT_ngg,0.48,Unknown,table_p5_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JS3,SumHCH_ngg,3.83,Unknown,table_p5_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JS4,SumDDT_ngg,1.33,Unknown,table_p5_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JS4,SumHCH_ngg,7.68,Unknown,table_p5_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JS5,SumDDT_ngg,1.51,Unknown,table_p5_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JS5,SumHCH_ngg,1.79,Unknown,table_p5_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_QP1,SumDDT_ngg,0.65,Unknown,table_p5_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_QP1,SumHCH_ngg,0.7,Unknown,table_p5_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_QP2,SumDDT_ngg,5.73,Unknown,table_p5_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_QP2,SumHCH_ngg,0.56,Unknown,table_p5_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_QP3,SumDDT_ngg,2.32,Unknown,table_p5_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_QP3,SumHCH_ngg,4.69,Unknown,table_p5_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_BS2,SumDDT_ngg,0.0,Unknown,table_p5_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_BS2,SumHCH_ngg,0.55,Unknown,table_p5_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_BS3,SumDDT_ngg,0.46,Unknown,table_p5_ri19_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_BS3,SumHCH_ngg,0.42,Unknown,table_p5_ri19_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JD1,SumDDT_ngg,0.56,Unknown,table_p5_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JD1,SumHCH_ngg,0.22,Unknown,table_p5_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JD2,SumHCH_ngg,0.71,Unknown,table_p5_ri21_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JD3,SumDDT_ngg,0.96,Unknown,table_p5_ri22_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_FX1,SumHCH_ngg,3.0,Unknown,table_p5_ri23_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
