paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C3,BaA_ngg,0.22,Unknown,table_p8_ri8_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C3,Chr_ngg,0.22,Unknown,table_p8_ri8_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C3,BghiP_ngg,0.43,Unknown,table_p8_ri8_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D1,Sum_PAH_ngg,1623.0,Unknown,table_p8_ri9_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D1,Sum_PAH_ngg,1088.0,Unknown,table_p8_ri9_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D1,Sum_PAH_ngg,536.0,Unknown,table_p8_ri9_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D1,Sum_PAH_ngg,49.0,Unknown,table_p8_ri9_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D1,OC_pct,49.0,Unknown,table_p8_ri9_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D1,Sum_PAH_ngg,16.0,Unknown,table_p8_ri9_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D1,OC_pct,16.0,Unknown,table_p8_ri9_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D1,BaA_ngg,0.33,Unknown,table_p8_ri9_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D1,Chr_ngg,0.33,Unknown,table_p8_ri9_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D1,BghiP_ngg,0.5,Unknown,table_p8_ri9_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D2,Sum_PAH_ngg,573.0,Unknown,table_p8_ri10_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D2,Sum_PAH_ngg,397.0,Unknown,table_p8_ri10_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D2,Sum_PAH_ngg,176.0,Unknown,table_p8_ri10_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D2,Sum_PAH_ngg,32.0,Unknown,table_p8_ri10_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
