paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_2,TotalPHC_mgkg,3.75,Unknown,table_p6_ri24_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_2,TotalPHC_mgkg,0.43,Unknown,table_p6_ri24_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_3,TotalPHC_mgkg,45.2,Unknown,table_p6_ri25_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_3,TotalPHC_mgkg,31.2,Unknown,table_p6_ri25_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_3,TotalPHC_mgkg,3.25,Unknown,table_p6_ri25_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_3,TotalPHC_mgkg,69.1,Unknown,table_p6_ri25_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_3,TotalPHC_mgkg,7.19,Unknown,table_p6_ri25_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_3,TotalPHC_mgkg,0.08,Unknown,table_p6_ri25_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_4,TotalPHC_mgkg,501.0,Unknown,table_p6_ri26_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_4,TotalPHC_mgkg,376.0,Unknown,table_p6_ri26_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_4,TotalPHC_mgkg,21.1,Unknown,table_p6_ri26_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_4,TotalPHC_mgkg,75.1,Unknown,table_p6_ri26_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_4,TotalPHC_mgkg,4.21,Unknown,table_p6_ri26_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_4,TotalPHC_mgkg,0.67,Unknown,table_p6_ri26_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_5,TotalPHC_mgkg,16.8,Unknown,table_p6_ri27_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_5,TotalPHC_mgkg,16.3,Unknown,table_p6_ri27_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_5,TotalPHC_mgkg,0.25,Unknown,table_p6_ri27_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_5,TotalPHC_mgkg,97.0,Unknown,table_p6_ri27_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_5,TotalPHC_mgkg,1.52,Unknown,table_p6_ri27_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_5,TotalPHC_mgkg,0.11,Unknown,table_p6_ri27_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_6,TotalPHC_mgkg,2.31,Unknown,table_p6_ri28_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_6,TotalPHC_mgkg,2.05,Unknown,table_p6_ri28_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_6,TotalPHC_mgkg,0.13,Unknown,table_p6_ri28_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_6,TotalPHC_mgkg,88.7,Unknown,table_p6_ri28_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_6,TotalPHC_mgkg,5.47,Unknown,table_p6_ri28_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_6,TotalPHC_mgkg,1.05,Unknown,table_p6_ri28_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_7,TotalPHC_mgkg,3.42,Unknown,table_p6_ri29_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
