paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Urban_soils_in_Tampa_of_Florida,Sum_PAH_ngg,16.0,Unknown,table_p6_ri15_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Urban_soils_in_Orlando_of_Florida,Sum_PAH_ngg,16.0,Unknown,table_p6_ri16_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Urban_soil_of_Gwangju_City,_Korea",Sum_PAH_ngg,23.0,Unknown,table_p6_ri17_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Urban_and_suburban_soils_of_Chile,Sum_PAH_ngg,12.0,Unknown,table_p6_ri18_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Urban_soils_in_Stockholm,_Sweden",Sum_PAH_ngg,15.0,Unknown,table_p6_ri19_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Terrestrial_soils_of_King_George_Island,_Antarctica",Sum_PAH_ngg,12.0,Unknown,table_p6_ri20_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Garden_soil_in_Newyork,_USA",Sum_PAH_ngg,16.0,Unknown,table_p6_ri21_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Soils_in_a_coalmining_area_of_South,Sum_PAH_ngg,16.0,Unknown,table_p6_ri22_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Kalimantan,_Indonesia_Soils_from_a_highly_industrialized_area_in",Sum_PAH_ngg,15.0,Unknown,table_p6_ri23_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Turkey_Mountain_soils_from_Himalayas,_India",Sum_PAH_ngg,16.0,Unknown,table_p6_ri24_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Soils_in_the_entire_territory_of_France,Sum_PAH_ngg,15.0,Unknown,table_p6_ri25_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_$\tt_T_E_F_^_{_a_}$,Acy_ngg,0.001,Unknown,table_p9_ri1_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_$\tt_T_E_F_^_{_a_}$,Ace_ngg,0.001,Unknown,table_p9_ri2_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_$\tt_T_E_F_^_{_a_}$,Phe_ngg,0.001,Unknown,table_p9_ri4_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_$\tt_T_E_F_^_{_a_}$,Ant_ngg,0.01,Unknown,table_p9_ri5_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_$\tt_T_E_F_^_{_a_}$,Pyr_ngg,0.001,Unknown,table_p9_ri7_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
