paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,43.53,Unknown,table_p3_ri39_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col6,SumPCB_ngg,2.56,Unknown,table_p3_ri39_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,64.58,Unknown,table_p3_ri39_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col10,SumPCB_ngg,16.44,Unknown,table_p3_ri39_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col12,SumPCB_ngg,1.7,Unknown,table_p3_ri39_ci12,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,123.0,Unknown,table_p3_ri40_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri40_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri40_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col6,SumPCB_ngg,0.0,Unknown,table_p3_ri40_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,0.0,Unknown,table_p3_ri40_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col10,SumPCB_ngg,0.0,Unknown,table_p3_ri40_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col12,SumPCB_ngg,0.0,Unknown,table_p3_ri40_ci12,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,124.0,Unknown,table_p3_ri41_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri41_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri41_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col6,SumPCB_ngg,0.0,Unknown,table_p3_ri41_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,0.0,Unknown,table_p3_ri41_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col10,SumPCB_ngg,0.0,Unknown,table_p3_ri41_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col12,SumPCB_ngg,0.0,Unknown,table_p3_ri41_ci12,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
