paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,BaP_ngg,0.5,Unknown,table_p4_ri14_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,BaP_ngg,50.0,Unknown,table_p4_ri14_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),BaP_ngg,0.5,Unknown,table_p4_ri14_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Sum_PAH_ngg,23.8,Unknown,table_p4_ri18_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),Sum_PAH_ngg,9.8,Unknown,table_p4_ri18_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),Sum_PAH_ngg,715.6,Unknown,table_p4_ri18_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),Sum_PAH_ngg,6.1,Unknown,table_p4_ri18_ci6,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),Sum_PAH_ngg,17.6,Unknown,table_p4_ri18_ci8,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),Sum_PAH_ngg,687.8,Unknown,table_p4_ri18_ci9,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Nap_ngg,1.4,Unknown,table_p5_ri2_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Nap_ngg,140.0,Unknown,table_p5_ri2_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_8),Nap_ngg,128.16,Unknown,table_p5_ri2_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_Topsoil_(n_=_21),Nap_ngg,67.7,Unknown,table_p5_ri2_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_3),Nap_ngg,1.2850000000000001,Unknown,table_p5_ri2_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Acy_ngg,1.2,Unknown,table_p5_ri3_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Acy_ngg,120.0,Unknown,table_p5_ri3_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_8),Acy_ngg,15.355,Unknown,table_p5_ri3_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_Topsoil_(n_=_21),Acy_ngg,8.67,Unknown,table_p5_ri3_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_3),Acy_ngg,0.155,Unknown,table_p5_ri3_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Ace_ngg,1.2,Unknown,table_p5_ri4_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Ace_ngg,120.0,Unknown,table_p5_ri4_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_8),Ace_ngg,8.495,Unknown,table_p5_ri4_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_Topsoil_(n_=_21),Ace_ngg,7.7,Unknown,table_p5_ri4_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_3),Ace_ngg,0.08499999999999999,Unknown,table_p5_ri4_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Flu_ngg,1.2,Unknown,table_p5_ri5_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Flu_ngg,120.0,Unknown,table_p5_ri5_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_8),Flu_ngg,33.085,Unknown,table_p5_ri5_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_Topsoil_(n_=_21),Flu_ngg,27.96,Unknown,table_p5_ri5_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_3),Flu_ngg,0.33,Unknown,table_p5_ri5_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Phe_ngg,5.1,Unknown,table_p5_ri6_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Phe_ngg,510.0,Unknown,table_p5_ri6_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_8),Phe_ngg,12.615,Unknown,table_p5_ri6_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_Topsoil_(n_=_21),Phe_ngg,9.61,Unknown,table_p5_ri6_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_3),Phe_ngg,0.125,Unknown,table_p5_ri6_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Ant_ngg,1.2,Unknown,table_p5_ri7_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Ant_ngg,120.0,Unknown,table_p5_ri7_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_8),Ant_ngg,3.32,Unknown,table_p5_ri7_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_Topsoil_(n_=_21),Ant_ngg,1.95,Unknown,table_p5_ri7_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_3),Ant_ngg,0.03,Unknown,table_p5_ri7_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Pyr_ngg,1.2,Unknown,table_p5_ri9_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Pyr_ngg,120.0,Unknown,table_p5_ri9_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_8),Pyr_ngg,20.075000000000003,Unknown,table_p5_ri9_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_Topsoil_(n_=_21),Pyr_ngg,12.2,Unknown,table_p5_ri9_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_3),Pyr_ngg,0.2,Unknown,table_p5_ri9_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,BaA_ngg,2.5,Unknown,table_p5_ri10_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,BaA_ngg,250.0,Unknown,table_p5_ri10_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_8),BaA_ngg,6.055000000000001,Unknown,table_p5_ri10_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_Topsoil_(n_=_21),BaA_ngg,3.67,Unknown,table_p5_ri10_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_3),BaA_ngg,0.06,Unknown,table_p5_ri10_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,BbF_ngg,2.5,Unknown,table_p5_ri12_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,BbF_ngg,250.0,Unknown,table_p5_ri12_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_8),BbF_ngg,19.119999999999997,Unknown,table_p5_ri12_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_Topsoil_(n_=_21),BbF_ngg,11.47,Unknown,table_p5_ri12_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_3),BbF_ngg,0.19,Unknown,table_p5_ri12_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,BkF_ngg,24.0,Unknown,table_p5_ri13_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_8),BkF_ngg,0.77,Unknown,table_p5_ri13_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=range_mean,,
