site_id,Latitude,Longitude
1414,28.2,113.08
1415,28.2,113.08
1416,28.2,113.08
1417,28.2,113.08
1418,28.2,113.08
1419,28.2,113.08
1420,28.2,113.08
1421,28.2,113.08
1422,28.2,113.08
1423,28.2,113.08
1424,28.2,113.08
1425,28.2,113.08
1426,28.2,113.08
1427,28.2,113.08
1428,28.2,113.08
1429,28.2,113.08
1430,28.2,113.08
1431,28.2,113.08
1432,28.2,113.08
1433,28.2,113.08
1434,28.2,113.08
1435,28.2,113.08
1436,28.2,113.08
1437,28.2,113.08
1438,28.2,113.08
1439,28.2,113.08
1440,28.2,113.08
1441,28.2,113.08
1442,28.2,113.08
1443,28.2,113.08
1444,28.2,113.08
1445,28.2,113.08
1446,28.2,113.08
1447,28.2,113.08
1448,28.2,113.08
1449,28.2,113.08
1450,28.2,113.08
1451,28.2,113.08
1452,28.2,113.08
1453,40.22,116.23
1454,40.22,116.23
1455,40.22,116.23
1456,40.22,116.23
1457,40.22,116.23
1458,40.22,116.23
1459,40.22,116.23
1460,40.22,116.23
1461,40.22,116.23
1462,40.22,116.23
1463,40.22,116.23
1464,40.22,116.23
1465,40.22,116.23
1466,40.22,116.23
1467,40.22,116.23
1468,40.22,116.23
1469,40.22,116.23
1470,40.22,116.23
1471,40.22,116.23
1472,40.22,116.23
1473,40.22,116.23
1474,40.22,116.23
1475,40.22,116.23
1476,40.22,116.23
1477,40.22,116.23
1478,40.22,116.23
1479,40.22,116.23
1480,40.22,116.23
1481,40.22,116.23
1482,40.22,116.23
1483,40.22,116.23
1484,40.22,116.23
1485,40.22,116.23
1486,40.22,116.23
1487,40.22,116.23
1488,40.22,116.23
1489,40.22,116.23
1490,40.22,116.23
1491,40.22,116.23
1492,40.22,116.23
1756,30.92,121.47
1757,30.22,121.17
1764,35.77,109.44
1765,35.77,109.44
1766,35.77,109.44
1767,35.77,109.44
1768,35.77,109.44
1769,35.77,109.44
1811,36.09,103.7
1812,36.09,103.7
1813,36.09,103.7
1843,35.58,104.63
1844,35.58,104.63
1845,35.58,104.63
1891,35.58,104.63
1892,35.58,104.63
1893,35.58,104.63
1894,35.58,104.63
1895,35.58,104.63
1896,35.58,104.63
1897,35.58,104.63
1898,35.58,104.63
1899,35.58,104.63
1900,35.58,104.63
1901,35.58,104.63
1902,35.58,104.63
1903,35.58,104.63
1904,35.58,104.63
1905,35.58,104.63
1906,35.58,104.63
1907,35.58,104.63
1908,35.58,104.63
1909,35.58,104.63
1910,35.58,104.63
1911,35.58,104.63
1912,35.58,104.63
1913,35.58,104.63
1914,35.58,104.63
1915,35.58,104.63
1916,35.58,104.63
1917,35.58,104.63
1918,35.58,104.63
1919,35.58,104.63
1920,35.58,104.63
1921,35.58,104.63
1922,35.58,104.63
1923,35.58,104.63
1924,35.58,104.63
1925,35.58,104.63
1926,35.58,104.63
1927,35.58,104.63
1928,35.58,104.63
1929,35.58,104.63
1930,35.58,104.63
1931,35.58,104.63
1932,35.58,104.63
2011,38.87,115.46
2012,38.87,115.46
2013,38.87,115.46
2014,38.87,115.46
2015,38.87,115.46
2016,38.87,115.46
2017,38.87,115.46
2018,38.87,115.46
2019,38.87,115.46
2020,38.87,115.46
2021,38.87,115.46
2022,38.87,115.46
2023,38.87,115.46
2024,38.87,115.46
2025,38.87,115.46
2026,38.87,115.46
2027,38.87,115.46
2028,38.87,115.46
2029,38.87,115.46
2030,38.87,115.46
2031,38.87,115.46
2032,38.87,115.46
2033,38.87,115.46
2034,38.87,115.46
2104,25.23,110.18
2105,25.23,110.18
2106,39.8166666666667,110.0
2107,39.8166666666667,110.0
2108,39.8166666666667,110.0
2109,28.7666666666667,115.916666666667
2110,28.7666666666667,115.916666666667
2111,28.7666666666667,115.916666666667
2112,28.7666666666667,115.916666666667
2113,28.7666666666667,115.916666666667
2114,28.7666666666667,115.916666666667
2115,28.7666666666667,115.916666666667
2116,28.7666666666667,115.916666666667
2117,28.7666666666667,115.916666666667
2118,28.7666666666667,115.916666666667
2119,28.7666666666667,115.916666666667
2120,28.7666666666667,115.916666666667
2159,35.58,104.63
2160,35.58,104.63
2161,35.58,104.63
2162,35.58,104.63
2163,35.58,104.63
2164,35.58,104.63
2165,35.58,104.63
2166,35.58,104.63
2167,35.58,104.63
2168,35.58,104.63
2169,35.58,104.63
2170,35.58,104.63
2171,35.58,104.63
2172,35.58,104.63
2212,35.58,104.63
2213,35.58,104.63
2214,35.58,104.63
2215,35.58,104.63
2216,35.58,104.63
2217,35.58,104.63
2218,35.58,104.63
2219,35.58,104.63
2220,35.58,104.63
2221,35.58,104.63
2222,35.58,104.63
2223,35.58,104.63
2224,35.58,104.61
2225,35.58,104.61
2226,35.58,104.61
2227,35.58,104.61
2228,35.58,104.61
2229,35.58,104.61
2230,35.58,104.61
2231,35.58,104.61
2232,35.58,104.61
2233,35.58,104.61
2234,35.58,104.61
2235,35.58,104.61
2236,45.75,127.47
2237,45.75,127.47
2238,45.75,127.47
2239,45.75,127.47
2240,45.75,127.47
2241,45.75,127.47
2242,45.75,127.47
2243,45.75,127.47
2244,45.75,127.47
2245,45.75,127.47
2246,45.75,127.47
2247,45.75,127.47
2248,45.75,127.47
2249,45.75,127.47
2250,45.75,127.47
2251,45.75,127.47
2252,45.75,127.47
